"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/Rádio_Guarabira_FM","","","","","","","","","","","","Rádio Guarabira FM","Rádio Guarabira FM LTDA",""
"http://pt.wikipedia.org/wiki/Apparatjik","","","","","","","","","","","","Apparatjik","Apparatjik",""
"http://pt.wikipedia.org/wiki/TV_Real_(Campo_Verde)","","","","","","","","","","","","TV Real (Campo Verde)","200px|commoldura;;TV Real",""
"http://pt.wikipedia.org/wiki/TV_Cotia","","","","","","","","","","","","TV Cotia","TV Cotia",""
"http://pt.wikipedia.org/wiki/Kashima_Antlers","","","","","","Antlers","","","","","","Kashima Antlers","Kashima Antlers;;Kashima Antlers F.C.;;鹿島アントラーズ",""
"http://pt.wikipedia.org/wiki/Felpeyu","","","","","","","","","","","","Felpeyu","Felpeyu",""
"http://pt.wikipedia.org/wiki/95_FM","","","","","","","","Cultura FM","","","","95 FM","95 FM;;Rádio Cultura de Macaíba Ltda.",""
"http://pt.wikipedia.org/wiki/Federação_de_Canoagem_do_Estado_do_Rio_Grande_do_Sul","","","","","","","","","","","","Federação de Canoagem do Estado do Rio Grande do Sul","Federação de Canoagem do Estado do Rio Grande do Sul",""
"http://pt.wikipedia.org/wiki/White_Wolf","","","","","","","","","","","","White Wolf","White Wolf Publishing Inc.",""
"http://pt.wikipedia.org/wiki/Batalhão_de_Dobragem,_Manutenção_de_Paraquedas_e_Suprimento_pelo_Ar","","","","","","BDOMPSA","","","","","","Batalhão de Dobragem, Manutenção de Paraquedas e Suprimento pelo Ar","Batalhão de Dobragem, Manutenção de Paraquedas e Suprimento pelo Ar",""
"http://pt.wikipedia.org/wiki/Conselho_Sul-Americano_de_Novas_Federações","","","","","","","","","","","","Conselho Sul-Americano de Novas Federações","Consejo Sudamericano de Nuevas Federaciones;;Conselho Sul-Americano de Novas Federações",""
"http://pt.wikipedia.org/wiki/Flyleaf","","","","","","","","","","","","Flyleaf","Flyleaf",""
"http://pt.wikipedia.org/wiki/Caprichosos_Saada_Abi_Chedid","","","","","","","","","","","","Caprichosos Saada Abi Chedid","Caprichosos Saada",""
"http://pt.wikipedia.org/wiki/Club_Deportivo_Litoral_(La_Paz)","","","","","","","","","","","","Club Deportivo Litoral (La Paz)","Club Deportivo Litoral;;Litoral",""
