"historicalName","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","http://pt.wikipedia.org/wiki/27540_2000_HA100","","","","","","","","","","","","27540 2000 HA100","2000 HA100",""
"","http://pt.wikipedia.org/wiki/Belmont_(Wisconsin)","","","","","","","","","","","","Belmont (Wisconsin)","Belmont",""
"","http://pt.wikipedia.org/wiki/Lanvaudan","","","","","","","","","","","","Lanvaudan","Lanvaudan",""
"","http://pt.wikipedia.org/wiki/Locana","","","","","","","","","","","","Locana","Locana",""
"","http://pt.wikipedia.org/wiki/Civitella_Messer_Raimondo","","","","","","","","","","","","Civitella Messer Raimondo","Civitella Messer Raimondo",""
"","http://pt.wikipedia.org/wiki/NGC_5408","","","","","","","","","","","","NGC 5408","5408, MCG -7-29-6, ESO 325-47, TOL 116, IRAS14002-4108, PGC 50073;;NGC 5408",""
"","http://pt.wikipedia.org/wiki/Lampa_(Chile)","","","","","","","","","","","","Lampa (Chile)","Villa de Lampa",""
"","http://pt.wikipedia.org/wiki/Yamaga","","","","","","","","","","","","Yamaga","-shi;;Yamaga;;山鹿市",""
"","http://pt.wikipedia.org/wiki/Feuillères","","","","","","","","","","","","Feuillères","Feuillères",""
"","http://pt.wikipedia.org/wiki/Mundi","","","","","","","","","","","","Mundi","Mundi",""
"","http://pt.wikipedia.org/wiki/24928_1997_GK13","","","","","","","","","","","","24928 1997 GK13","1997 GK13",""
"","http://pt.wikipedia.org/wiki/Muereasca","","","","","","","","","","","","Muereasca","Muereasca",""
"","http://pt.wikipedia.org/wiki/(73294)_2002_JU66","","","","","","","","","","","","(73294) 2002 JU66","2002 JU66",""
"","http://pt.wikipedia.org/wiki/Sealy_(Texas)","","","","","","","","","","","","Sealy (Texas)","Sealy",""
"","http://pt.wikipedia.org/wiki/2609_Kiril-Metodi","","","","","","","","","","","","2609 Kiril-Metodi","Kiril-Metodi",""
"","http://pt.wikipedia.org/wiki/Wobbenbüll","","","","","","","","","","","","Wobbenbüll","Wobbenbüll",""
"","http://pt.wikipedia.org/wiki/Condado_de_Walthall","","","","","","","","","","","","Condado de Walthall","Walthall",""
"","http://pt.wikipedia.org/wiki/Lago_Palü","","","","","","","","","","","","Lago Palü","Lago Palü",""
"","http://pt.wikipedia.org/wiki/Ciguñuela","","","","","","","","","","","","Ciguñuela","Ciguñuela",""
"","http://pt.wikipedia.org/wiki/Winnsboro_(Carolina_do_Sul)","","","","","","","","","","","","Winnsboro (Carolina do Sul)","Winnsboro",""
"","http://pt.wikipedia.org/wiki/Šiljakovac","","","","","","","","","","","","Šiljakovac","Šiljakovac",""
"","http://pt.wikipedia.org/wiki/Imperial_(Missouri)","","","","","","","","","","","","Imperial (Missouri)","Imperial",""
"","http://pt.wikipedia.org/wiki/13211_Stucky","","","","","","","","","","","","13211 Stucky","Stucky",""
"","http://pt.wikipedia.org/wiki/Condado_de_Sac","","","","","","","","","","","","Condado de Sac","Sac",""
"","http://pt.wikipedia.org/wiki/776_Berbericia","","","","","","","","","","","","776 Berbericia","Berbericia",""
"","http://pt.wikipedia.org/wiki/Rio_Minho_(Jamaica)","","","","","","","","","","","","Rio Minho (Jamaica)","Rio Minho",""
"","http://pt.wikipedia.org/wiki/Jakovljevo","","","","","","","","","","","","Jakovljevo","Jakovljevo",""
"","http://pt.wikipedia.org/wiki/Coronel_Sapucaia","","","","","","","","","","","","Coronel Sapucaia","Coronel Sapucaia",""
"","http://pt.wikipedia.org/wiki/Saint-Blaise_(Alpes_Marítimos)","","","","","","","","","","","","Saint-Blaise (Alpes Marítimos)","Saint-Blaise",""
"","http://pt.wikipedia.org/wiki/Prambachkirchen","","","","","","","","","","","","Prambachkirchen","Prambachkirchen",""
"","http://pt.wikipedia.org/wiki/85215_Hohenzollern","","","","","","","","","","","","85215 Hohenzollern","Hohenzollern",""
"","http://pt.wikipedia.org/wiki/35972_1999_LL26","","","","","","","","","","","","35972 1999 LL26","1999 LL26",""
"","http://pt.wikipedia.org/wiki/Condado_de_Livingston_(Kentucky)","","","","","","","","","","","","Condado de Livingston (Kentucky)","Livingston",""
"","http://pt.wikipedia.org/wiki/Williers","","","","","","","","","","","","Williers","Williers",""
"","http://pt.wikipedia.org/wiki/Sharon_(Kansas)","","","","","","","","","","","","Sharon (Kansas)","Sharon",""
"","http://pt.wikipedia.org/wiki/26360_1998_YL13","","","","","","","","","","","","26360 1998 YL13","1998 YL13",""
"","http://pt.wikipedia.org/wiki/Windsor","","","","","","","","","","","","Windsor","Windsor",""
"","http://pt.wikipedia.org/wiki/Dompierre-les-Tilleuls","","","","","","","","","","","","Dompierre-les-Tilleuls","Dompierre-les-Tilleuls",""
"","http://pt.wikipedia.org/wiki/Nierstein","","","","","","","","","","","","Nierstein","Nierstein",""
"","http://pt.wikipedia.org/wiki/24848_1995_WO41","","","","","","","","","","","","24848 1995 WO41","1995 WO41",""
"","http://pt.wikipedia.org/wiki/NGC_4954","","","","","","","","","","","","NGC 4954","4954, NGC 4972, ZWG 353.8, UGC 8157, IRAS13009+7540, MCG 13-9-44, KAZ 248, ZWG 352.53, PGC 44988;;NGC 4954",""
"","http://pt.wikipedia.org/wiki/Haironville","","","","","","","","","","","","Haironville","Haironville",""
"","http://pt.wikipedia.org/wiki/Martinshöhe","","","","","","","","","","","","Martinshöhe","Martinshöhe",""
"","http://pt.wikipedia.org/wiki/Birnbach","","","","","","","","","","","","Birnbach","Birnbach",""
"","http://pt.wikipedia.org/wiki/Almoster_(Santarém)","","","","","","","","","","","","Almoster (Santarém)","Almoster",""
"","http://pt.wikipedia.org/wiki/33611_1999_JB61","","","","","","","","","","","","33611 1999 JB61","1999 JB61",""
"","http://pt.wikipedia.org/wiki/107_Camilla","","","","","","","","","","","","107 Camilla","Camilla",""
"","http://pt.wikipedia.org/wiki/6865_Dunkerley","","","","","","","","","","","","6865 Dunkerley","Dunkerley",""
"","http://pt.wikipedia.org/wiki/NGC_2939","","","","","","","","","","","","NGC 2939","2939, UGC 5134, MCG 2-25-11, ZWG 63.22, IRAS09354+0945, PGC 27451;;NGC 2939",""
"","http://pt.wikipedia.org/wiki/Comuna_de_Karsin","","","","","","","","","","","","Comuna de Karsin","Karsin",""
"","http://pt.wikipedia.org/wiki/Saint-Aubin-d'Aubigné","","","","","","","","","","","","Saint-Aubin-d'Aubigné","Saint-Aubin-d'Aubigné",""
"","http://pt.wikipedia.org/wiki/Kappa_Columbae","","","","","","","","","","","","Kappa Columbae","κ Columbae","84 Columbae (Designação de Flamsteed), HD 43785, HIP 29807"
"","http://pt.wikipedia.org/wiki/Anajás","","","","","","","","","","","","Anajás","Anajás",""
