"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"Michael Christopher Manning","","http://pt.wikipedia.org/wiki/Mike_Manning","","","","","","","","","","","","Mike Manning","Mike Manning",""
"","","http://pt.wikipedia.org/wiki/Gülşen","","","","","","","","","","","","Gülşen","Gülşen",""
"","","http://pt.wikipedia.org/wiki/Enrico_Gilardi","","","","","","","","","","","","Enrico Gilardi","Enrico Gilardi",""
"","","http://pt.wikipedia.org/wiki/J._P._Targete","","","","","","","","","","","","J. P. Targete","J. P. Targete",""
"","","http://pt.wikipedia.org/wiki/Camilo_Machado_de_Miranda","","","","","","","","","","","","Camilo Machado de Miranda","Camilo Machado de Miranda",""
"Rebecca de Alba","","http://pt.wikipedia.org/wiki/Rebecca_de_Alba","","","","","","","","","","","","Rebecca de Alba","Rebecca de Alba",""
"","","http://pt.wikipedia.org/wiki/Ike_Broflovski","","","","","","","","","","","","Ike Broflovski","Ike Broflovski",""
"","","http://pt.wikipedia.org/wiki/Charles_Thacker","","","","","","","","","","","","Charles Thacker","Charles Thacker",""
"","","http://pt.wikipedia.org/wiki/Vladimir_Kovalev","","","","","","","","","","","","Vladimir Kovalev","Vladimir Kovalev;;Vladimir Nikolayevich Kovalev",""
"","","http://pt.wikipedia.org/wiki/Guy_Mitchell","","","","","Albert George Cernik","","","","","","","Guy Mitchell","Guy Mitchell",""
"","","http://pt.wikipedia.org/wiki/Stein_Bråthen","","","","","","","","","","","","Stein Bråthen","Stein Bråthen",""
"Tânia Cefira Gomes Burity","","http://pt.wikipedia.org/wiki/Tânia_Burity","","","","","","","","","","","","Tânia Burity","Tânia Burity",""
"Lew Temple","","http://pt.wikipedia.org/wiki/Lew_Temple","","","","","","","","","","","","Lew Temple","Lew Temple",""
"","","http://pt.wikipedia.org/wiki/Dom_La_Nena","","","","","Dominique Pinto","","","","","","","Dom La Nena","Dom La Nena",""
"","","http://pt.wikipedia.org/wiki/Borja_Vidal","","","","","","","","","","","","Borja Vidal","Borja Vidal;;Borja Vidal Fernández Fernández",""
"","","http://pt.wikipedia.org/wiki/Isabel_de_Habsburgo_(1526–1545)","","","","","","","","","","","","Isabel de Habsburgo (1526–1545)","Isabel de Habsburgo",""
"","","http://pt.wikipedia.org/wiki/Élida_L'Astorina","","","","","","","","","","","","Élida L'Astorina","Élida l'Astorina",""
"","","http://pt.wikipedia.org/wiki/Andoni_Iraola","","","","","","","","","","","","Andoni Iraola","Andoni Iraola;;Andoni Iraola Sagarna",""
"","","http://pt.wikipedia.org/wiki/Tiana_Lynn","","","","","","Tiana, Teana, Tianna Lynne, Tianna Lynn, Teanna Lynn","","","","","","Tiana Lynn","Tiana Lynn",""
"","","http://pt.wikipedia.org/wiki/Michel'le","","","","","Michel'le Toussant","","","","","","","Michel'le","Michel'le",""
"","","http://pt.wikipedia.org/wiki/Salvador_Dalí","","","","","","","","","","","","Salvador Dalí","Salvador  Dalí;;Salvador Domingo Felipe Jacinto Dali i Domènech",""
"","","http://pt.wikipedia.org/wiki/Paulo_Moratore","","","","","","","","","","","","Paulo Moratore","Paulo Moratore;;Paulo Rogerio Moratore",""
"","","http://pt.wikipedia.org/wiki/Constant_Huysmans","","","","","","","","","","","","Constant Huysmans","Constant Huysmans",""
"","","http://pt.wikipedia.org/wiki/Tamás_Kulifai","","","","","","","","","","","","Tamás Kulifai","Tamás Kulifai",""
"","","http://pt.wikipedia.org/wiki/José_Marín","","","","","","","","","","","","José Marín","Josep Marín i Sospedra;;José Marín",""
"","","http://pt.wikipedia.org/wiki/Nereu_e_Aquileu","","","","","","","","","","","","Nereu e Aquileu","Santos Nereu e Aquileu",""
"","","http://pt.wikipedia.org/wiki/Cole_Porter","","","","","Cole Albert Porter","","","","","","","Cole Porter","Cole Porter",""
"Omar Hashim Epps","","http://pt.wikipedia.org/wiki/Omar_Epps","","","","","","","","","","","","Omar Epps","Omar Epps",""
"","","http://pt.wikipedia.org/wiki/Karl_Angerstein","","","","","","","","","","","","Karl Angerstein","Karl Angerstein",""
"","","http://pt.wikipedia.org/wiki/Virgílio_de_Castilho","","","","","","","","","","","","Virgílio de Castilho","Virgílio de Castilho;;Virgílio de Castilho Barbosa Filho",""
